,Hugo_Symbol
396,PSEN2
397,P4HA2
398,PTTG1IP
399,FAM69B
400,PDGFA
401,TNFSF15
402,SLCO1C1
403,KLC4
404,COX18
405,APOBEC3A
406,SMIM11
407,CAPNS2
408,VPS33A
409,CDKL5
410,ZNF277
411,LLGL2
412,GNAQ
413,HRCT1
414,MFSD6
415,ALKBH6
416,RSU1
417,PDE2A
418,DIO2
419,PSMC2
420,PIK3IP1
421,LZTR1
422,FBXO48
423,ANKS1B
424,NUP205
425,C6orf57
426,DESI2
427,KLHL7
428,ITIH5
429,RPN1
430,MRO
431,SLC8A3
432,CRTC3
433,AC002472.13
434,SLC9A7
435,LPPR3
436,MRP63
437,ZNF648
438,RPL15
439,MRPS24
440,EPHA8
441,RFC4
442,PRKAR2B
443,C7orf49
444,ZDHHC13
445,TBATA
446,ALPPL2
447,COL6A3
448,LRRIQ3
449,TMEM235
450,FIBIN
451,RLN3
452,KCNC3
453,TMEM143
454,RBM38
455,ST6GALNAC3
456,AP3B2
457,MTMR12
458,CAMK1
459,CCDC67
460,C3orf62
461,RAD54L
462,PAGE2
463,FANCA
464,NXPH2
465,SNAPC3
466,CCDC64
467,PAPOLG
468,MT1B
469,CHRND
470,PIBF1
471,DTWD1
472,EMC8
473,SLC19A3
474,MTG2
475,TEKT3
476,GABARAPL1
477,CEP170
478,PALMD
479,FAU
480,WDR90
481,STEAP1
482,RHBDD2
483,SPATA2
484,ZCCHC18
485,LCP2
486,RAD51AP1
487,ZNRD1
488,TEX2
489,EMP3
490,SBSPON
491,F12
492,CEACAM4
493,PLCL1
494,CACNA2D1
495,SLC9A8
496,TMPRSS2
497,MRGPRG
498,STK40
499,TRDN
500,TMEM241
501,FAM120AOS
502,CCDC7
503,EEPD1
504,RAP2A
505,PIP4K2C
506,RASD2
507,SMAD3
508,ERAL1
509,TFAP2E
510,MEF2A
511,PKIA
512,TM9SF3
513,ECM1
514,CCDC41
515,AC096677.1
516,WBSCR16
517,C1QTNF2
518,RP11-618P17.4
519,SLC4A8
520,NCDN
521,ARRDC4
522,NLGN2
523,ZNF280A
524,DYX1C1
525,GAR1
526,ATP2C1
527,HIST2H2AA3
528,ERH
529,LILRA5
