,Hugo_Symbol
4046,FLJ00418
4047,HDGF
4048,BMPR1A
4049,ETV4
4050,CEL
4051,KIAA0101
4052,OARD1
4053,COPZ2
4054,CHDH
4055,CMTM5
4056,CCDC38
4057,KIAA0319
4058,PKP3
4059,CYP19A1
4060,RXFP4
4061,L3MBTL4
4062,PTX3
4063,UPP1
4064,FAM3C
4065,IL1A
4066,ZNF496
4067,RNPEP
4068,DCAF16
4069,AC021218.2
4070,CLIC2
4071,RP11-116D17.1
4072,GOLGA2
4073,NSUN4
4074,HIST1H2AC
4075,SLC10A4
4076,ABCB10
4077,LRFN4
4078,BNIP3
4079,PTPN18
4080,HCRTR1
4081,EDDM3B
4082,TMEM176B
4083,PLEKHJ1
4084,BTBD6
4085,C1ORF220
4086,MAGEL2
4087,LPPR1
4088,SLBP
4089,RORB
4090,EFCAB7
4091,SENP1
4092,RRAGD
4093,TAB1
4094,TRABD
4095,FUT8
4096,AFF3
4097,TNFSF14
4098,DFNB31
4099,SEC11C
4100,SLITRK4
4101,LTC4S
4102,GPR137C
4103,CD47
4104,SAP30
4105,NAT8L
4106,C11orf89
4107,KDM3A
4108,GPR12
4109,TAF3
4110,CHD3
4111,PCDH18
4112,NFE2L2
4113,DNAJA4
4114,CPLX1
4115,CYP2C9
4116,SPAG7
4117,GRB10
4118,JUND
4119,CXorf38
4120,PCDHGA1
4121,C11orf57
4122,KATNA1
4123,IL1RAP
4124,AP001055.1
4125,RELT
4126,PCSK2
4127,FILIP1L
4128,TRPV5
4129,CBFB
4130,SGCA
4131,ZGPAT
4132,FBXO45
4133,GCGR
4134,RIPPLY1
4135,ZDHHC8
4136,DBF4
4137,HBE1
4138,TELO2
4139,TIMM9
4140,COX7A2
4141,PUS3
4142,NUAK2
4143,C10orf105
4144,TCTEX1D1
4145,PSORS1C2
4146,RNF130
4147,KIAA0368
4148,CTD-2583A14.9
4149,AF196779.12
4150,THEMIS2
4151,AC016586.1
4152,YWHAB
4153,GPR137B
4154,CALCR
4155,ACBD4
4156,DNAJC1
4157,HBM
4158,SMG8
4159,PRRG2
4160,RNF183
4161,MAPKBP1
4162,EPHA1
4163,PTPRA
4164,PTPRD
4165,SLC2A2
4166,KLF8
4167,DGCR2
4168,SFPQ
4169,WT1
4170,APOC1
4171,BHLHE22
4172,FAM219B
4173,ATP5G3
4174,KIAA1377
4175,PATL2
4176,TMUB1
4177,FBN2
4178,ST8SIA6
4179,GCA
4180,RBM19
4181,TBC1D7
4182,CENPC
4183,CMTM6
4184,KRTAP10-1
4185,TFR2
4186,PTEN
4187,LRPPRC
4188,PRKCA
4189,NSF
4190,SFRP4
4191,C1orf189
4192,C11orf70
4193,SH3RF3
4194,BX088651.1
4195,MMD2
4196,DGAT2L6
4197,CD300C
4198,LILRA1
4199,CCNE1
4200,MEX3B
4201,PALM3
4202,KRTAP6-1
4203,DPYS
4204,TMPO
4205,ZNF33B
4206,CD164
4207,NDUFA10
4208,TRAF3IP3
4209,ERLIN1
4210,CCDC36
4211,POTEH
4212,RPL18A
4213,RNF215
4214,ESD
4215,ADCY2
4216,RBM41
4217,PTPRB
4218,SLC16A12
4219,ASH2L
4220,ZNF706
4221,FAM47E
4222,DFFA
4223,AC007461.1
4224,REV3L
4225,PSPN
4226,TRIM49C
4227,EGR2
4228,BCL2
4229,LAMTOR3
4230,LIG3
4231,COL27A1
4232,CC2D1A
4233,TMEM168
4234,ABCC12
4235,ORC3
4236,RP11-187E13.1
4237,SLC5A12
4238,CLEC18B
4239,LIPI
4240,DNAH8
4241,LHFPL5
4242,IGIP
4243,PAQR4
4244,C12orf56
4245,SLC25A15
4246,ZNF287
4247,PTCH2
4248,ARHGEF25
4249,MLKL
4250,HTR3A
4251,CLPP
4252,PCNA
4253,MAGED1
4254,C6orf222
4255,MRPS30
4256,FMNL2
4257,AL354718.1
4258,WARS2
4259,GSTA4
4260,OTOR
4261,NUBPL
4262,PLEKHM2
4263,FOS
4264,C13orf45
4265,AP001631.10
4266,PREX2
4267,ZNF592
4268,SLC25A43
4269,KIAA0907
4270,BLOC1S5-TXNDC5
4271,UBA2
4272,MCFD2
4273,CRELD2
4274,FAM90A1
4275,FBXL14
4276,ZNF17
4277,H2AFJ
4278,GUF1
4279,PRDM6
4280,CFD
4281,C11orf48
4282,CRISP1
4283,NMRAL1
4284,FAM83E
4285,STMND1
4286,GJA10
4287,RPL14
4288,PARVA
4289,KDM6B
4290,CD300E
4291,RNF10
4292,FSTL1
4293,ACAA1
4294,LL22NC03-75H12.2
4295,HAS2
4296,LCN10
4297,PNN
4298,USP3
4299,EEF1E1
4300,ZNF132
4301,SNAI1
4302,WNT9A
4303,AL136531.1
4304,GRASP
4305,CLEC16A
4306,BTRC
4307,THRB
4308,MB
4309,MT1G
4310,PAIP2
4311,PSMC1
4312,AGR3
4313,C22orf24
4314,CASZ1
4315,MCCC2
4316,VWCE
4317,HIF1AN
4318,HOXD1
4319,PRKCI
4320,PLXDC1
4321,PPWD1
4322,SCO1
4323,RP11-81K2.1
4324,AC136604.1
4325,DDX10
4326,AC117834.1
4327,RAB20
4328,AC068533.7
4329,GPR115
4330,SYT2
4331,CD274
4332,TAC1
4333,KRT38
4334,TMEM131
4335,NAGLU
4336,RBMX
4337,PEX26
4338,IGFBP6
4339,PCDHA10
4340,CNOT3
4341,PDE8B
4342,AC008060.7
4343,FAM217A
4344,GPR149
4345,PLAGL2
4346,SNRPB
4347,CD34
4348,SLC2A4
4349,RP11-268J15.5
4350,CBLN4
4351,ASGR2
4352,KRTAP10-8
4353,DBI
4354,PHOSPHO1
4355,ZMYND15
4356,TREML4
4357,EXOSC7
4358,YPEL4
4359,GOSR2
4360,NAA40
4361,DSEL
4362,MRPL54
4363,SPATA31A2
4364,CTF1
4365,SIAH3
4366,PRSS35
4367,ABCC10
4368,HTR3D
4369,MAL2
4370,EPHX4
4371,CT45A5
4372,THAP6
4373,ZSCAN4
4374,TOPBP1
4375,TIMM17B
4376,ARID1A
4377,UTP14C
4378,DEFB4A
4379,ADAMTS1
4380,ASB16
4381,POM121L2
4382,EPHA6
4383,CCNJ
4384,ARNTL
4385,NCKAP1
4386,PPP4R4
4387,NQO1
4388,IL2RB
4389,PKP4
4390,METTL21A
4391,TNPO2
4392,MARK1
4393,FOXI1
4394,SPANXB2
4395,NPTX1
4396,SLC24A5
4397,SCAMP1
4398,PPP6R1
4399,GAB3
4400,ATRX
4401,TMEM132E
4402,STMN2
4403,RFNG
4404,CCND2
4405,SERPINE1
4406,OCIAD2
4407,PDSS2
4408,ARFGEF1
4409,ATL1
4410,SRPRB
4411,TMEM159
4412,RIPPLY2
4413,RPL6
4414,GALNT2
4415,ITPA
4416,NEURL1B
4417,TMEM185A
4418,KCNJ11
4419,PRH2
4420,IL1F10
4421,DONSON
4422,CTAGE4
4423,GNGT2
4424,GALNTL5
4425,NPHP4
4426,NANOG
4427,ABHD16B
4428,SLC41A2
4429,C3orf55
4430,TMPPE
4431,ABAT
4432,TMEM234
4433,AL031663.2
4434,RBP7
4435,BPIFC
4436,NUMBL
4437,AMT
4438,IL32
4439,LRRC47
4440,SYTL4
4441,JAK2
4442,NME1
4443,ZNF398
4444,UQCC1
4445,BX255923.1
4446,CRHR1
4447,VPS28
4448,ZFP36L2
4449,FAM102A
4450,EMCN
4451,DNAJC24
4452,C19orf52
4453,MTFR2
4454,WDR74
4455,CCDC135
4456,TGFB3
4457,CLEC10A
4458,CHSY3
4459,C10orf91
4460,ZNF624
4461,PEF1
4462,ZBTB17
4463,RSL24D1
4464,FRG2B
4465,PNPLA7
4466,PPIA
4467,POU6F2
4468,CNPY2
4469,PDPR
4470,EIF3B
4471,PLEK
4472,AP1B1
4473,ACTA1
4474,FAM160B1
4475,POTEG
4476,ZMYM1
4477,ZNF534
4478,PHF8
4479,C8B
4480,FOXO4
4481,SLC38A1
4482,FREM2
4483,SHANK1
4484,HYAL1
4485,CACNG4
4486,MAST4
4487,IP6K2
4488,DNAJB11
4489,HHEX
4490,SLC39A2
4491,MED13L
4492,TMEM9
4493,AC024592.12
4494,HJURP
4495,HSPB9
4496,SERPINA12
4497,TIGD1
4498,SUCNR1
4499,TDP2
4500,CCL1
4501,JAM2
4502,MED25
4503,PGAM4
4504,SRM
4505,EOMES
4506,CMTR2
4507,B3GALT2
4508,F2
4509,TMEM245
4510,DCC
4511,STX18
4512,TMEM136
4513,RABL2A
4514,ATF7IP
4515,DNMT3A
4516,FAM19A3
4517,SPDYE3
4518,ADAP2
4519,TOMM7
4520,PCDHGB1
4521,COX5B
4522,SLC26A9
4523,SLC16A9
4524,OR7A5
4525,TCF25
4526,ZNF428
4527,LEAP2
4528,MRPL9
4529,DEFB104A
4530,RP11-872D17.8
4531,SGSH
4532,PGBD1
4533,MYO1G
4534,AC003002.6
4535,FOXN4
4536,FAM189A2
4537,AL590483.1
4538,TMEM128
4539,PLCXD3
4540,KMT2B
4541,SELM
4542,FAM25G
4543,CD2AP
4544,ZNF268
4545,HDX
4546,DDT
4547,ANKRD34A
4548,HAS1
4549,IGSF1
4550,PYGO1
4551,PCDH7
4552,RP11-697E2.6
4553,SAPCD1
4554,C9orf69
4555,CFLAR
4556,SCGB2B2
4557,MAGEA2
4558,NUTM2F
4559,ABHD14A
4560,FGL1
4561,ODF2
4562,IPO9
4563,PGBD3
4564,ANKRD12
4565,MRPS12
4566,DDI2
4567,GGTLC2
4568,AK9
4569,GMEB2
4570,PDPN
4571,PRIM1
4572,MYBPC1
4573,CABYR
4574,FMO5
4575,CARHSP1
4576,TEX38
4577,AL354898.1
4578,CTB-60B18.6
4579,WWP1
4580,PSMA6
4581,CLIP2
4582,SUPT4H1
4583,ADRA1D
4584,IGFL2
4585,ANO7
4586,KLHL6
4587,CDRT1
4588,LAMTOR4
4589,NDRG1
4590,USE1
4591,NOBOX
4592,GNB5
4593,MEPE
4594,GOLGA6L2
4595,TGIF2LY
4596,AL359693.1
4597,GJD3
4598,NOSTRIN
4599,RP11-598P20.5
4600,IFNGR2
4601,ALG5
4602,CXCL10
4603,SCNM1
4604,DGKG
4605,POTEI
4606,PRKDC
4607,TUBG1
4608,EIF4H
4609,CLDN17
4610,FAM209B
4611,FAM98B
4612,POLR1B
4613,TENM3
4614,MAPRE1
4615,MCM6
4616,RAB27A
4617,SNX17
4618,INHA
4619,AC011997.1
4620,RBP5
4621,EXPH5
4622,PHAX
4623,KIF3B
4624,CLIC3
4625,PSMD6
4626,NOS1
4627,LCLAT1
4628,BTBD9
4629,ZC3H8
4630,C17orf105
4631,PACS1
4632,H2AFB3
4633,POM121C
4634,TMEM151B
4635,RAB40AL
4636,LRRC39
4637,IQCF1
4638,MAP3K9
4639,FAM60A
4640,C19orf10
4641,NKX6-2
4642,NBPF20
4643,KIAA1109
4644,SCAP
4645,KIAA0895
4646,ENOPH1
4647,SYCP2
4648,CTD-2587H24.4
4649,NOP10
4650,GBP2
4651,MGAT5
4652,MTRF1L
4653,ZFR
4654,NT5DC4
4655,NCK1
4656,C7orf34
4657,USP21
4658,C8orf33
4659,MT-ND6
4660,HEATR5A
4661,PLCD1
4662,MTMR6
4663,PCYOX1L
4664,R3HCC1L
4665,KAT2B
4666,ZYX
4667,SELP
4668,DDHD2
4669,ZNF366
4670,ANKRD31
4671,GLYAT
4672,AIMP2
4673,SP4
4674,RAB33B
4675,FOCAD
4676,PCDHA1
4677,PFKFB4
4678,CST1
4679,RD3L
4680,IRGC
4681,ANKRD66
4682,PRR16
4683,PUM2
4684,HCFC2
4685,KCNRG
4686,FXN
4687,ANKIB1
4688,SULT1C2
4689,ZDHHC1
4690,NUP107
4691,PLA2G4E
4692,IFI35
4693,TMEM244
4694,HEATR2
4695,CTNND2
4696,C7orf43
4697,IHH
4698,EIF3I
4699,OR56B3P
4700,EFNB3
4701,CNOT11
4702,RP11-302M6.4
4703,KRTAP5-10
4704,DEFA5
4705,ZDHHC11
4706,OXSR1
4707,TSC22D2
4708,TTC39A
4709,DENND2A
4710,UBXN11
4711,ZNF280D
4712,DKFZP761J1410
4713,CCDC42B
4714,LETMD1
4715,PIGN
4716,ZCCHC5
4717,LECT2
4718,UTP11L
4719,SEMA4B
4720,AKNAD1
4721,SLC22A18AS
4722,ZNF616
4723,BARX1
4724,CAMK1G
4725,CHCHD6
4726,SRD5A1
4727,LSM1
4728,CXCL1
4729,SATL1
4730,AKR1C2
4731,RAB8B
4732,CPSF6
4733,SLC16A10
4734,P2RX1
4735,UCN2
4736,BNC2
4737,RP11-159G9.5
4738,ZNF223
4739,SEC11A
4740,RP11-817J15.3
4741,HMGXB4
4742,TACC1
4743,RBMS3
4744,C5orf64
4745,TBXAS1
4746,ADPRM
4747,OPCML
4748,SLC24A3
4749,GRAMD3
4750,VPS29
4751,NLRP3
4752,DNAJA1
4753,DMRT2
4754,MYF6
4755,DMXL1
4756,ZNF677
4757,HELB
4758,RPL7L1
4759,GADD45A
4760,GSTK1
4761,CDH24
4762,ELF3
4763,DIMT1
4764,GOLIM4
4765,INO80
4766,LAPTM4B
4767,MPV17
4768,TMPRSS11E
4769,SLX1B
4770,TAC3
4771,FBXO39
4772,PRR22
4773,MGEA5
4774,MAF1
4775,PBRM1
4776,CLDN16
4777,TSEN15
4778,RP11-362K2.2
4779,ARHGEF10
4780,APOBEC3H
4781,KY
4782,ARSD
4783,COX20
4784,CSH1
4785,MAGEA11
4786,MGST3
4787,GALNT6
4788,AC097381.1
4789,BPNT1
4790,KRT23
4791,NDUFAF1
4792,NCF2
4793,VWA7
4794,EGFL6
4795,RP11-181C3.1
4796,ASMTL
4797,IRF7
4798,RELA
4799,MSL2
4800,HSPE1
4801,MMP14
4802,CTRL
4803,ZSCAN30
4804,SLC10A3
4805,SLC25A37
4806,RLIM
4807,EDN1
4808,ERMP1
4809,IGFL4
4810,YIPF6
4811,PLCB1
4812,RNASE3
4813,AIPL1
4814,C3orf38
4815,RAC3
4816,GTPBP8
4817,BCL2L2-PABPN1
4818,VPS37A
4819,MAT1A
4820,AC007401.2
4821,CHKB-CPT1B
4822,BTBD8
4823,LPO
4824,UQCR10
4825,FBXW10
4826,PDE7A
4827,HIP1
4828,GSKIP
4829,TROAP
4830,ATP12A
4831,RAET1E
4832,IL4I1
4833,GNPNAT1
4834,SLC38A11
4835,LAP3
4836,EPHB2
4837,KLHL40
4838,EFNA4
4839,CCDC181
4840,LIMCH1
4841,PAPD4
4842,AL353583.1
4843,PLCD3
4844,HNRNPR
4845,GNB1L
4846,PPP1R14B
4847,SUCLG1
4848,PABPN1
4849,SLC28A2
4850,NT5DC3
4851,C17orf103
4852,PKM
4853,FSD1
4854,HFM1
4855,NFIB
4856,NACAD
4857,SFSWAP
4858,ATP2C2
4859,ALDH1A1
4860,CCT2
4861,LMOD1
4862,CHMP4C
4863,RNF187
4864,SLC35C1
4865,LSP1
4866,TSPAN17
4867,PAXIP1
4868,UBE2G1
4869,WISP1
4870,DMD
4871,EID2
4872,STK35
4873,TMEM229A
4874,TRAM1L1
4875,TPO
4876,ZNF726
4877,HLA-DQA2
4878,IFITM3
4879,RP11-196G11.1
4880,ART4
4881,MED26
4882,PEX16
4883,MAP1S
4884,ARAP1
4885,ZNF93
4886,BRICD5
4887,LAIR1
4888,WIF1
4889,AATK
4890,RPS10
4891,ASAP1
4892,HIST2H3PS2
4893,FGFBP3
4894,STK3
4895,TFDP2
4896,OSBPL1A
4897,MRPS18A
4898,GPR84
4899,ERVMER34-1
4900,ANKRD36
4901,CAMKK2
4902,AGBL2
4903,NOTCH2
4904,GPR183
4905,MAP2K7
4906,TGFBR2
4907,RP11-729L2.2
4908,PLP2
4909,PLEKHA3
4910,MAGEB5
4911,OR51B4
4912,PHLDA1
4913,SORD
4914,CCDC94
4915,MUC15
4916,ZNF623
4917,MTNR1B
4918,C15orf41
4919,TMEM53
4920,ABRACL
4921,ITGA7
4922,DUSP10
4923,ROBO4
4924,TCF7L2
4925,KBTBD3
4926,PTK7
4927,IDH3G
4928,LCE3B
4929,CCBE1
4930,MMP24
4931,TUBGCP4
4932,NKX2-8
4933,TAC4
4934,ADA
4935,SLC12A4
4936,AJAP1
4937,LDHA
4938,ANKRD34B
4939,RFC1
4940,PNRC1
4941,TYSND1
4942,DAXX
4943,PASD1
4944,GSTM3
4945,CLSTN2
4946,CMYA5
4947,FBXO4
4948,RILP
4949,TSKS
4950,H3F3C
4951,NHS
4952,TBK1
4953,NUDC
4954,NUDT19
4955,NOL12
4956,CPSF4
4957,RTN1
4958,TARS2
4959,HIST1H4K
4960,DBX1
4961,BRI3BP
4962,FAT1
4963,AC009065.1
4964,RP11-145E5.5
4965,SLC35D3
4966,MPPED1
4967,MAPK4
4968,NXN
4969,RTFDC1
4970,VTA1
4971,CXCR5
4972,CMC2
4973,MAPK15
4974,GOLGA6L10
4975,TFPI2
4976,FAM57B
4977,PCDHGA6
4978,KRT84
4979,WAC
4980,CDK14
4981,LSG1
4982,CXorf22
4983,ISPD
4984,KBTBD4
4985,SOD2
4986,GALNT16
4987,VHL
4988,AC114546.1
4989,DOK2
4990,TOP1
4991,PHF10
4992,SENP5
4993,LGALS8
4994,C7orf33
4995,IRAK3
4996,ZNF425
4997,CAMKK1
4998,KLHL11
4999,AHCYL2
5000,SH2D6
5001,HPS4
5002,MYH13
5003,MXI1
5004,SLC28A3
5005,RPS6KA3
5006,RNF103-CHMP3
5007,RANBP6
5008,S100A10
5009,CGB1
5010,PGK2
5011,FBXL3
5012,KRT4
5013,KIAA2013
5014,GINS4
5015,LRBA
5016,PAX2
5017,COL4A3BP
5018,RGPD8
5019,C1orf174
5020,TBX15
5021,ABCA10
5022,HBCBP
5023,KRT6B
5024,GART
5025,CABIN1
5026,PRPS1
5027,MRPL17
5028,ZNF347
5029,C6orf203
5030,RNF4
5031,ACP5
5032,COG1
5033,BLOC1S2
5034,SEC14L1
5035,CNOT2
5036,KCNMB4
5037,TRIB2
5038,KRTAP5-3
5039,RHOB
5040,EFNA5
5041,DNAH5
5042,DZIP1L
5043,GPR78
5044,CD38
5045,RAB5B
5046,CHST9
5047,OXR1
5048,BTG3
5049,IQCD
5050,DHX36
5051,PIAS2
5052,ZNF728
5053,TTC3
5054,ID3
5055,HIPK3
5056,MAML2
5057,AC135178.1
5058,ERN2
5059,HEPH
5060,UCHL1
5061,TTC19
5062,C12orf4
5063,MYCN
5064,UGT8
5065,ANKHD1-EIF4EBP3
5066,TCAIM
5067,GNG10
5068,SLC7A14
5069,LOXL3
5070,TAP2
5071,COL9A2
5072,ABCD4
5073,NDUFV1
5074,BRPF3
5075,CTD-2287O16.3
5076,C8orf48
5077,ZDBF2
5078,C20orf141
5079,CORIN
5080,RNF213
5081,DHTKD1
5082,PF4
5083,TBC1D2B
5084,UCK1
5085,CARD17
5086,DHRS4-AS1
5087,CENPE
5088,LRP4
5089,BCMO1
5090,ZDHHC7
5091,KLHDC7B
5092,ANKRD7
5093,APC2
5094,AL049747.1
5095,MBNL1
5096,CCDC153
5097,CCDC163P
5098,BATF
5099,FYCO1
5100,PTGR1
5101,TRAPPC11
5102,ZNF460
5103,LRWD1
5104,PGLYRP2
5105,DIEXF
5106,EXTL3
5107,SP9
5108,RPS17L
5109,SLC39A6
5110,CACYBP
5111,STK25
5112,C10orf90
5113,OAZ2
5114,ZRANB3
5115,KRTAP19-7
5116,ADAM32
5117,C6orf123
5118,C16orf70
5119,TMEM175
5120,ATRN
5121,TSPAN31
5122,USP9X
5123,LSM7
5124,CYP8B1
5125,ZNF416
5126,RP11-613M10.8
5127,HAND2
5128,ABCB5
5129,AL591684.1
5130,P4HB
5131,CDKN2AIP
5132,SCN11A
5133,GABRB2
5134,CCDC40
5135,BEX2
5136,LGALS9C
5137,MTMR1
5138,TMEM9B
5139,CDC42SE2
5140,C1orf35
5141,SEC23B
5142,GRIK1
5143,MYL3
5144,TGIF2LX
5145,XKRX
5146,GRHL2
5147,PHKG1
5148,OPA3
5149,TINAG
5150,ERCC2
5151,ZNF177
5152,MC3R
5153,CRYGD
5154,GLI4
5155,APEH
5156,PPM1D
5157,RP11-986E7.7
5158,TRIM50
5159,DDX53
5160,CCDC138
5161,SLX4
5162,C11orf35
5163,ZUFSP
5164,C21orf119
5165,CTSZ
5166,TMEM204
5167,BEND5
5168,THOC1
5169,RNF128
5170,VAPA
5171,CCDC88B
5172,CAD
5173,PARD6A
5174,DTD1
5175,DDX49
5176,FCRL2
5177,PIGM
5178,MTCP1
5179,SNX18
5180,B9D2
5181,ZNF217
5182,COPS2
5183,HPCA
5184,DGCR6L
5185,AP1M1
5186,UGT2A1
5187,JOSD2
5188,EIF2B4
5189,COX6A1P2
5190,CBWD1
5191,HIVEP3
5192,SLC46A3
5193,AGAP10
5194,ZNF597
5195,RINT1
5196,SULF1
5197,NAA60
5198,MGC4294
5199,PSAP
5200,PAPL
5201,RAP1A
5202,ANKRD61
5203,MBD6
5204,RANBP3
5205,YTHDC2
5206,TRPM4
5207,PXDC1
5208,C4orf26
5209,ACSL5
5210,VSTM4
5211,SOX4
5212,NEFM
5213,STYX
5214,USH1C
5215,ZSCAN32
5216,C15orf59
5217,FAM212B
5218,AKR7A3
5219,RAB35
5220,EMC1
5221,IFT74
5222,SLC4A1AP
5223,DNAH11
5224,C3orf30
5225,ACAD11
5226,PLEKHO2
5227,GDF5
5228,TUBB6
5229,TIMP3
5230,PGF
5231,PTMS
5232,RNF8
5233,TBC1D3H
5234,ANO5
5235,MPP3
5236,PRMT1
5237,NOC4L
5238,CTD-2006C1.10
5239,TCF4
5240,FAM120C
5241,GPR52
5242,CTD-2105E13.6
5243,DGCR8
5244,RBFOX2
5245,TRPV2
5246,PPP2CB
5247,LAPTM5
5248,PRKCDBP
5249,RP11-830F9.6
5250,AC092675.3
5251,AJUBA
5252,ZBED6
5253,CHI3L2
5254,MYH15
5255,NMU
5256,MPP7
5257,IL4
5258,GATA2
5259,FCRL6
5260,LRRN4
5261,UTP3
5262,STK4
5263,KCNK5
5264,MIPOL1
5265,DLX2
5266,ZC3HC1
5267,HSPBAP1
5268,CYP27B1
5269,ARHGAP8
5270,CTTNBP2
5271,SLC25A21-AS1
5272,MAML1
5273,SLC6A16
5274,PIGB
5275,RP1
5276,FGFR3
5277,HOXD4
5278,NUP62
5279,BMP10
5280,TUSC3
5281,SPRR2E
5282,GPR75-ASB3
5283,TIGD4
5284,CCDC80
5285,PPP5D1
5286,REG1A
5287,ALPL
5288,ASB14
5289,PHF13
5290,APOBEC3B
5291,POMT1
5292,KLF15
5293,TMA7
5294,S100A16
5295,GSTT2
5296,PTDSS1
5297,NHP2
5298,DVL2
5299,C8orf37
5300,AP003068.6
5301,LPAR1
5302,PRPF6
5303,IRAK1
5304,CYP3A43
5305,HIC2
5306,UGT3A2
5307,RPS14
5308,IFI27L1
5309,EDC3
5310,GOLGA6L4
5311,HIST1H2BI
5312,XRCC6
5313,DLK1
5314,C3orf70
5315,CLDN7
5316,BACE1
5317,BPTF
5318,PTGER2
5319,FAT3
5320,DNAJB6
5321,SIGLEC6
5322,UBA52
5323,GTF2A1
5324,PDPK1
5325,TAF4B
5326,ITGAL
5327,KIRREL2
5328,ESRP2
5329,MCMBP
5330,C1S
5331,NKAIN2
5332,AMELY
5333,STAT5A
5334,GREM2
5335,CCDC11
5336,CDK13
5337,C17orf67
5338,DUSP22
5339,TXNDC11
5340,RP11-796G6.2
5341,MRPL46
5342,TRIM28
5343,CD151
5344,RPS29
5345,PRELP
5346,PI15
5347,ACOT12
5348,GALNT8
5349,FAM134A
5350,EPHA5
5351,HLA-B
5352,LMO3
5353,MSH2
5354,FAM124B
5355,NBPF12
5356,TMEM69
5357,MRPS18C
5358,CLEC2L
5359,MIER2
5360,NFE2L1
5361,CYP21A2
5362,NPEPPS
5363,SERBP1
5364,PCDHB2
5365,LCN1
5366,TNMD
5367,GOLGA1
5368,FAM83A
5369,EIF3K
5370,APLF
5371,VNN2
5372,SPTLC3
5373,SPATA12
5374,AK8
5375,VWA5A
5376,POLRMT
5377,OLFM2
5378,LGALS3BP
5379,NUCB1
5380,GYPC
5381,ZNF557
5382,BMPR1B
5383,TFAM
5384,DVL1
5385,SLC35B1
5386,ALDOA
5387,COL4A6
5388,NDUFAF2
5389,AP000275.65
5390,MAK16
5391,ASB1
5392,KLF14
5393,KCNK10
5394,CLINT1
5395,C8orf12
5396,FAM227B
5397,PPAT
5398,CFP
5399,C11orf30
5400,EIF2AK4
5401,SLAMF1
5402,CCT6B
5403,NDC1
5404,GNA11
5405,SYS1-DBNDD2
5406,ACTA2
5407,CBL
5408,ELP4
5409,ARSI
5410,PPP3R1
5411,ZNF75A
5412,RP11-514O12.4
5413,OR7C1
5414,TOX4
5415,TSPY2
5416,RABGAP1L
5417,TRRAP
5418,TNFRSF19
5419,SCARB2
5420,SNRNP200
5421,MCRS1
5422,C8orf49
5423,C1orf228
5424,PCDHA11
5425,RP11-795F19.5
5426,MYO1C
5427,WNT2
5428,LALBA
5429,IL17D
5430,C4orf3
5431,PPTC7
5432,ABCA12
5433,AADAC
5434,DENND1B
5435,RIC3
5436,CCDC63
5437,RHEB
5438,RP1-241P17.4
5439,WDR16
5440,LAMP5
5441,CCNG2
5442,TRAPPC3L
5443,NRSN1
5444,TMED6
5445,ASCC1
5446,DYDC2
5447,KLRC4-KLRK1
5448,FKTN
5449,XIRP2
5450,CYB5A
5451,CSAD
5452,CSPP1
5453,SLC25A36
5454,CSRP2
5455,RBX1
5456,CASP2
5457,KCTD2
5458,PRKCB
5459,ZDHHC15
5460,OGFOD1
5461,CAPN2
5462,SNRNP25
5463,SLC39A10
5464,UBN2
5465,SRGAP1
5466,STK39
5467,CORO1A
5468,NRN1L
5469,FNBP1L
5470,EXOC1
5471,GZMH
5472,ZNF417
5473,CXorf36
5474,CACNA1G
5475,SLC26A6
5476,MID1IP1
5477,ME3
5478,C11orf54
5479,POLR2E
5480,PARP6
5481,ABTB2
5482,PSME3
5483,EGLN3
5484,ING5
5485,PCDHA3
5486,POFUT1
5487,RNF111
5488,ELMOD1
5489,BOK
5490,ATG2A
5491,KIDINS220
5492,ATP5EP2
5493,ZNF16
5494,FAM156A
5495,SLC35A2
5496,SULT1B1
5497,OR2A42
5498,RPS2
5499,KIAA1191
5500,SLC25A16
5501,DNAJC25-GNG10
5502,ZNF555
5503,PCDH20
5504,MAPK11
5505,ZNF493
5506,G0S2
5507,CLDND2
5508,HSD3B7
5509,TSPAN19
5510,NDUFB2
5511,EI24
5512,ALAD
5513,RP1-130H16.18
5514,TRPM2
5515,RHOBTB1
5516,PPM1B
5517,LYPD6B
5518,AGAP1
5519,FCER1A
5520,PTPRN
5521,ARIH2
5522,CDK10
5523,PARVG
5524,IQCA1
5525,KLHL34
5526,C11orf87
5527,NXF2
5528,TMSB15B
5529,ITM2A
5530,FAM106A
5531,ZNF556
5532,HCN3
5533,SSBP3-AS1
5534,MTSS1L
5535,LRRC8C
5536,EHMT2
5537,PSMB6
5538,ANXA8L2
5539,POU2AF1
5540,AOX1
5541,ZNF486
5542,SIX5
5543,MPC2
5544,TGFBRAP1
5545,ATP5J2
5546,ATG16L1
5547,GPCPD1
5548,MMEL1
5549,RFX8
5550,FAM222A
5551,C3orf80
5552,COMMD10
5553,NKTR
5554,BLOC1S4
5555,TCP1
5556,S100A9
5557,SMURF1
5558,HUNK
5559,P2RY11
5560,SLC30A3
5561,ASTN1
5562,ZBED6CL
5563,RERE
5564,CCNB1IP1
5565,NDST2
5566,CISD1
5567,AC018816.3
5568,CTC-360G5.1
5569,LCA5L
5570,CUTA
5571,SLC5A4
5572,CLNS1A
5573,MRPL21
5574,FAM188B
5575,MRPS21
5576,NMI
5577,HAX1
5578,INPP4B
5579,RPL37
5580,ECT2
5581,IL21
5582,TMEM187
5583,LPA
